case_id,outcome_1a_gemini,outcome_1b_gemini,outcome_1c_gemini
0001,reverse,reverse,reverse
0002,mixed,mixed,affirm
0029,reverse,reverse,reverse
0032,mixed,mixed,reverse
0033,reverse,reverse,mixed
0036,reverse,reverse,reverse
0091,affirm,affirm,affirm
0101,affirm,mixed,affirm
0103,,,
0104,mixed,mixed,mixed
0105,mixed,mixed,mixed
0110,reverse,reverse,reverse
0113,affirm,affirm,affirm
0114,mixed,mixed,reverse
0118,affirm,affirm,affirm
0120,reverse,reverse,affirm
0121,reverse,reverse,reverse
0124,mixed,mixed,affirm
0126,,,
0129,reverse,reverse,reverse
0131,,,
0132,reverse,reverse,reverse
0134,affirm,affirm,mixed
0140,,,
0141,affirm,affirm,affirm
0143,reverse,reverse,reverse
0146,reverse,reverse,reverse
0148,reverse,reverse,reverse
0151,affirm,mixed,affirm
0153,,,
0173,mixed,affirm,mixed
0174,,,
0175,mixed,mixed,mixed
0178,reverse,reverse,affirm
0183,reverse,reverse,reverse
0186,affirm,affirm,reverse
0190,affirm,affirm,affirm
0191,affirm,affirm,reverse
0193,reverse,reverse,reverse
0194,reverse,reverse,reverse
0197,,,
0199,reverse,affirm,affirm
0216,mixed,mixed,mixed
0223,,,
0224,reverse,reverse,reverse
0225,reverse,reverse,reverse
0227,,,
0229,reverse,reverse,affirm
0231,,,
0232,reverse,reverse,mixed
0244,mixed,affirm,reverse
0247,reverse,affirm,affirm
0249,,,
0259,reverse,reverse,reverse
0260,,,
0261,affirm,affirm,affirm
0264,mixed,mixed,affirm
0265,reverse,reverse,reverse
0267,affirm,affirm,affirm
0268,,,
0269,affirm,affirm,affirm
0270,mixed,mixed,reverse
0272,reverse,reverse,affirm
0274,reverse,reverse,affirm
0280,affirm,affirm,affirm
0284,affirm,affirm,affirm
0294,affirm,affirm,reverse
0295,affirm,affirm,affirm
0302,reverse,affirm,reverse
0312,affirm,affirm,affirm
0313,mixed,mixed,affirm
0316,,,
0321,reverse,reverse,mixed
0323,,,
0325,,,
0326,affirm,mixed,mixed
0336,,,
0337,,,
0339,mixed,mixed,affirm
0356,affirm,affirm,affirm
0384,reverse,reverse,affirm
0386,reverse,mixed,mixed
0388,reverse,reverse,reverse
0389,reverse,reverse,reverse
0390,mixed,mixed,mixed
0395,affirm,affirm,affirm
0398,affirm,affirm,affirm
0400,reverse,reverse,reverse
0402,reverse,reverse,affirm
0403,reverse,reverse,reverse
0404,reverse,reverse,reverse
0406,reverse,reverse,affirm
0407,reverse,reverse,reverse
0408,reverse,reverse,reverse
0410,reverse,reverse,affirm
0411,affirm,reverse,reverse
0412,reverse,reverse,reverse
0413,reverse,reverse,reverse
0416,,,
0417,affirm,affirm,affirm
0418,reverse,reverse,reverse
0423,reverse,reverse,mixed
0425,,,
0426,affirm,affirm,affirm
0427,affirm,reverse,reverse
0428,mixed,mixed,affirm
0429,reverse,reverse,reverse
0430,mixed,mixed,reverse
0432,mixed,mixed,reverse
0434,mixed,mixed,affirm
0435,mixed,reverse,affirm
0437,reverse,reverse,reverse
0438,,,
0448,mixed,mixed,affirm
0449,mixed,mixed,mixed
0451,reverse,reverse,reverse
0454,reverse,reverse,mixed
0455,,,
0456,mixed,mixed,affirm
0457,reverse,reverse,reverse
0458,reverse,reverse,reverse
0464,mixed,reverse,reverse
0465,affirm,affirm,affirm
0466,reverse,reverse,reverse
0470,reverse,reverse,affirm
0474,reverse,reverse,reverse
0475,reverse,reverse,affirm
0477,reverse,reverse,reverse
0479,reverse,reverse,mixed
0481,reverse,reverse,reverse
0483,reverse,reverse,mixed
0485,mixed,mixed,reverse
0488,reverse,reverse,reverse
0489,reverse,reverse,reverse
0492,affirm,affirm,mixed
0496,reverse,reverse,reverse
0500,,,
0502,reverse,reverse,reverse
0503,affirm,reverse,affirm
0504,reverse,reverse,reverse
0505,reverse,reverse,reverse
0506,affirm,affirm,affirm
0509,reverse,reverse,reverse
0510,reverse,reverse,reverse
0511,reverse,reverse,reverse
0512,reverse,reverse,reverse
0513,mixed,mixed,mixed
0514,affirm,affirm,affirm
0516,reverse,reverse,reverse
0517,reverse,reverse,affirm
0518,reverse,reverse,affirm
0519,mixed,reverse,affirm
0525,reverse,reverse,reverse
0526,mixed,mixed,reverse
0528,reverse,reverse,reverse
0529,affirm,affirm,affirm
0530,reverse,reverse,affirm
0536,mixed,mixed,affirm
0541,,,
0545,affirm,affirm,affirm
0546,,,
0547,affirm,affirm,reverse
0550,reverse,reverse,reverse
0556,mixed,mixed,mixed
0557,reverse,reverse,reverse
0558,mixed,mixed,mixed
0561,affirm,affirm,reverse
0562,reverse,affirm,affirm
0564,affirm,affirm,affirm
0565,reverse,reverse,reverse
0570,reverse,reverse,mixed
0571,mixed,mixed,mixed
0575,,,
0577,mixed,mixed,affirm
0578,,,
0588,,,
0590,affirm,affirm,affirm
0592,affirm,affirm,affirm
0595,,,
0601,reverse,mixed,mixed
0603,reverse,reverse,affirm
0607,mixed,mixed,mixed
0610,reverse,reverse,reverse
0613,mixed,affirm,affirm
0614,reverse,reverse,affirm
0618,mixed,mixed,affirm
0619,affirm,affirm,affirm
0623,reverse,reverse,reverse
0633,mixed,mixed,reverse
0634,reverse,reverse,affirm
0636,mixed,mixed,mixed
0640,reverse,reverse,reverse
0648,,,
0655,reverse,reverse,reverse
0656,mixed,mixed,reverse
0658,affirm,affirm,affirm
0661,affirm,affirm,reverse
0668,mixed,affirm,affirm
0670,mixed,mixed,affirm
0672,affirm,affirm,affirm
0676,reverse,affirm,reverse
0677,affirm,affirm,affirm
0678,reverse,reverse,reverse
0679,reverse,reverse,reverse
0680,affirm,affirm,affirm
0681,reverse,reverse,reverse
0683,reverse,reverse,affirm
0684,affirm,affirm,mixed
0686,reverse,reverse,affirm
0689,reverse,reverse,reverse
0691,reverse,reverse,reverse
0694,mixed,mixed,affirm
0700,,,
0702,affirm,affirm,affirm
0708,reverse,reverse,reverse
0715,mixed,reverse,affirm
0716,,,
0717,affirm,affirm,affirm
0718,reverse,reverse,affirm
0721,reverse,reverse,reverse
0723,mixed,mixed,mixed
