case_id,outcome_1a_gpt4o,outcome_1b_gpt4o,outcome_1c_gpt4o
0001,affirm,affirm,reverse
0002,affirm,affirm,affirm
0029,affirm,affirm,mixed
0032,mixed,mixed,mixed
0033,affirm,affirm,mixed
0036,reverse,reverse,reverse
0091,affirm,affirm,affirm
0101,affirm,mixed,affirm
0103,,,
0104,mixed,mixed,mixed
0105,mixed,mixed,mixed
0110,reverse,reverse,reverse
0113,mixed,affirm,affirm
0114,mixed,mixed,mixed
0118,affirm,affirm,affirm
0120,mixed,mixed,affirm
0121,reverse,mixed,reverse
0124,mixed,affirm,affirm
0126,,,
0129,reverse,reverse,reverse
0131,,,
0132,reverse,reverse,reverse
0134,mixed,affirm,reverse
0140,,,
0141,affirm,affirm,affirm
0143,reverse,reverse,reverse
0146,mixed,mixed,mixed
0148,affirm,affirm,reverse
0151,affirm,mixed,affirm
0153,,,
0173,affirm,mixed,mixed
0174,,,
0175,mixed,mixed,mixed
0178,reverse,reverse,affirm
0183,affirm,mixed,reverse
0186,mixed,mixed,mixed
0190,affirm,affirm,affirm
0191,affirm,affirm,reverse
0193,affirm,mixed,reverse
0194,reverse,reverse,reverse
0197,,,
0199,affirm,affirm,affirm
0216,mixed,mixed,mixed
0223,,,
0224,reverse,reverse,reverse
0225,affirm,affirm,affirm
0227,,,
0229,reverse,mixed,reverse
0231,,,
0232,affirm,affirm,mixed
0244,mixed,mixed,reverse
0247,affirm,affirm,affirm
0249,,,
0259,reverse,reverse,affirm
0260,,,
0261,affirm,affirm,affirm
0264,affirm,affirm,affirm
0265,reverse,reverse,affirm
0267,affirm,affirm,affirm
0268,,,
0269,mixed,mixed,affirm
0270,reverse,mixed,reverse
0272,affirm,affirm,affirm
0274,reverse,reverse,affirm
0280,affirm,affirm,affirm
0284,affirm,affirm,affirm
0294,affirm,affirm,reverse
0295,affirm,affirm,affirm
0302,affirm,affirm,affirm
0312,affirm,affirm,affirm
0313,affirm,affirm,affirm
0316,,,
0321,reverse,reverse,mixed
0323,,,
0325,,,
0326,mixed,mixed,affirm
0336,,,
0337,,,
0339,affirm,affirm,affirm
0356,reverse,affirm,affirm
0384,affirm,affirm,affirm
0386,reverse,reverse,affirm
0388,reverse,reverse,reverse
0389,reverse,reverse,reverse
0390,mixed,mixed,mixed
0395,reverse,mixed,affirm
0398,mixed,mixed,affirm
0400,reverse,reverse,affirm
0402,mixed,mixed,affirm
0403,reverse,mixed,reverse
0404,affirm,affirm,affirm
0406,affirm,affirm,affirm
0407,reverse,reverse,reverse
0408,reverse,mixed,reverse
0410,mixed,reverse,mixed
0411,mixed,affirm,reverse
0412,mixed,mixed,reverse
0413,affirm,affirm,reverse
0416,,,
0417,affirm,affirm,affirm
0418,reverse,reverse,reverse
0423,mixed,mixed,mixed
0425,,,
0426,affirm,affirm,affirm
0427,mixed,mixed,mixed
0428,mixed,mixed,affirm
0429,mixed,mixed,mixed
0430,mixed,mixed,reverse
0432,reverse,mixed,reverse
0434,affirm,affirm,affirm
0435,affirm,affirm,affirm
0437,reverse,reverse,reverse
0438,,,
0448,mixed,mixed,affirm
0449,mixed,mixed,mixed
0451,affirm,affirm,mixed
0454,affirm,affirm,affirm
0455,,,
0456,affirm,mixed,affirm
0457,reverse,reverse,reverse
0458,reverse,mixed,mixed
0464,affirm,affirm,reverse
0465,affirm,mixed,affirm
0466,reverse,reverse,reverse
0470,mixed,affirm,affirm
0474,reverse,reverse,mixed
0475,affirm,affirm,affirm
0477,reverse,mixed,reverse
0479,affirm,affirm,mixed
0481,affirm,affirm,mixed
0483,mixed,mixed,mixed
0485,mixed,mixed,reverse
0488,mixed,mixed,mixed
0489,reverse,reverse,affirm
0492,affirm,affirm,mixed
0496,affirm,affirm,reverse
0500,,,
0502,affirm,affirm,reverse
0503,affirm,affirm,affirm
0504,reverse,mixed,mixed
0505,reverse,mixed,mixed
0506,affirm,affirm,affirm
0509,reverse,reverse,affirm
0510,mixed,reverse,mixed
0511,reverse,affirm,reverse
0512,reverse,reverse,reverse
0513,affirm,affirm,reverse
0514,affirm,affirm,affirm
0516,reverse,reverse,mixed
0517,affirm,affirm,affirm
0518,affirm,affirm,affirm
0519,mixed,mixed,affirm
0525,mixed,reverse,reverse
0526,mixed,mixed,reverse
0528,reverse,reverse,reverse
0529,affirm,affirm,affirm
0530,mixed,affirm,affirm
0536,affirm,affirm,affirm
0541,,,
0545,mixed,mixed,affirm
0546,,,
0547,affirm,affirm,affirm
0550,reverse,mixed,reverse
0556,affirm,mixed,mixed
0557,reverse,affirm,reverse
0558,mixed,mixed,mixed
0561,reverse,affirm,reverse
0562,affirm,mixed,affirm
0564,affirm,affirm,affirm
0565,affirm,affirm,reverse
0570,affirm,affirm,affirm
0571,mixed,mixed,mixed
0575,,,
0577,affirm,affirm,affirm
0578,,,
0588,,,
0590,affirm,affirm,affirm
0592,affirm,affirm,affirm
0595,,,
0601,reverse,reverse,reverse
0603,mixed,reverse,affirm
0607,mixed,mixed,mixed
0610,affirm,mixed,reverse
0613,mixed,mixed,affirm
0614,affirm,affirm,affirm
0618,affirm,affirm,affirm
0619,affirm,affirm,affirm
0623,reverse,reverse,reverse
0633,mixed,affirm,reverse
0634,affirm,mixed,affirm
0636,mixed,mixed,mixed
0640,mixed,mixed,mixed
0648,,,
0655,reverse,reverse,reverse
0656,affirm,affirm,mixed
0658,affirm,affirm,affirm
0661,affirm,affirm,reverse
0668,affirm,affirm,affirm
0670,affirm,affirm,affirm
0672,affirm,affirm,affirm
0676,affirm,reverse,reverse
0677,affirm,affirm,affirm
0678,reverse,mixed,mixed
0679,affirm,affirm,reverse
0680,affirm,affirm,affirm
0681,affirm,affirm,affirm
0683,affirm,affirm,affirm
0684,affirm,affirm,affirm
0686,affirm,affirm,affirm
0689,reverse,mixed,reverse
0691,affirm,affirm,reverse
0694,affirm,affirm,affirm
0700,,,
0702,affirm,affirm,affirm
0708,affirm,affirm,reverse
0715,affirm,affirm,affirm
0716,,,
0717,affirm,affirm,affirm
0718,affirm,affirm,affirm
0721,affirm,affirm,affirm
0723,affirm,affirm,affirm
0729,,,
0738,affirm,affirm,reverse
0740,affirm,affirm,affirm
0741,affirm,reverse,reverse
0757,,,
0761,affirm,affirm,affirm
0764,affirm,affirm,affirm
0765,reverse,reverse,reverse
0769,affirm,affirm,affirm
0777,affirm,affirm,affirm
0782,affirm,mixed,mixed
0797,,,
0805,affirm,affirm,affirm
0806,affirm,affirm,affirm
0810,affirm,affirm,reverse
0815,affirm,affirm,reverse
0816,affirm,affirm,affirm
0818,affirm,affirm,affirm
0819,mixed,affirm,affirm
0823,,,
0825,affirm,reverse,reverse
0839,,,
0840,affirm,affirm,reverse
0841,,,
0850,,,
0857,affirm,affirm,affirm
0858,,,
0860,affirm,affirm,affirm
0864,mixed,affirm,reverse
0870,mixed,mixed,affirm
0871,affirm,affirm,affirm
0872,,,
0873,mixed,mixed,affirm
0874,mixed,mixed,mixed
0875,,,
0876,,,
